"Year" "Month" "NAO"
"68" 1827 "Aug" -3.558
"69" 1827 "Sept" -0.075
"70" 1827 "Oct" -3.016
"71" 1827 "Nov" -1.417
"72" 1827 "Dec" 2.702
"73" 1828 "Jan" 1.268
"74" 1828 "Feb" 0.365
"75" 1828 "Mar" -0.183
"76" 1828 "April" 0.042
"77" 1828 "May" -1.589
"78" 1828 "June" -1.33
"79" 1828 "Jul" -4.401
"80" 1828 "Aug" -2.543
"81" 1828 "Sept" -2.781
"82" 1828 "Oct" 0.101
"83" 1828 "Nov" -2.571
"84" 1828 "Dec" 3.04
"85" 1829 "Jan" -2.481
"86" 1829 "Feb" 0.319
"87" 1829 "Mar" -2.536
"88" 1829 "April" 0.123
"89" 1829 "May" 1.799
"90" 1829 "June" -0.096
"91" 1829 "Jul" 0.333
"92" 1829 "Aug" 0.773
"93" 1829 "Sept" 0.777
"94" 1829 "Oct" 0.709
"95" 1829 "Nov" -0.332
"96" 1829 "Dec" -0.425
"97" 1830 "Jan" -2.329
"98" 1830 "Feb" 1.197
"99" 1830 "Mar" 3.58
"100" 1830 "April" 3.08
"101" 1830 "May" -0.046
"102" 1830 "June" -0.849
"103" 1830 "Jul" 3.191
"104" 1830 "Aug" -0.353
"105" 1830 "Sept" 2.039
"106" 1830 "Oct" 2.04
"107" 1830 "Nov" 2.192
"108" 1830 "Dec" -3.13
"109" 1831 "Jan" -2.908
"110" 1831 "Feb" 1.401
"111" 1831 "Mar" 1.484
"112" 1831 "April" -3.148
"113" 1831 "May" -2.475
"114" 1831 "June" -1.357
"115" 1831 "Jul" 2.71
"116" 1831 "Aug" -3.045
"117" 1831 "Sept" -1.531
"118" 1831 "Oct" 0.847
"119" 1831 "Nov" 0.256
"120" 1831 "Dec" 0.365
"121" 1832 "Jan" -0.038
"122" 1832 "Feb" 0.828
"123" 1832 "Mar" 2.118
"124" 1832 "April" -1.513
"125" 1832 "May" -1.964
"126" 1832 "June" -3.618
"127" 1832 "Jul" -2.568
"128" 1832 "Aug" 0.921
"129" 1832 "Sept" 1.452
"130" 1832 "Oct" 2.252
"131" 1832 "Nov" 0.618
"132" 1832 "Dec" 3.322
"133" 1833 "Jan" -0.357
"134" 1833 "Feb" 2.522
"135" 1833 "Mar" -2.887
"136" 1833 "April" 2.016
"137" 1833 "May" 0.692
"138" 1833 "June" -1.523
"139" 1833 "Jul" 0.127
"140" 1833 "Aug" -1.738
"141" 1833 "Sept" -0.93
"142" 1833 "Oct" -1.745
"143" 1833 "Nov" 1.404
"144" 1833 "Dec" 4.174
"145" 1834 "Jan" 3.068
"146" 1834 "Feb" 2.662
"147" 1834 "Mar" 1.37
"148" 1834 "April" -2.38
"149" 1834 "May" -1.027
"150" 1834 "June" 0.272
"151" 1834 "Jul" -0.728
"152" 1834 "Aug" -0.86
"153" 1834 "Sept" -0.621
"154" 1834 "Oct" 0.304
"155" 1834 "Nov" -2.284
"156" 1834 "Dec" 0.111
"157" 1835 "Jan" 0.375
"158" 1835 "Feb" 3.371
"159" 1835 "Mar" 1.539
"160" 1835 "April" -1.024
"161" 1835 "May" 0.581
"162" 1835 "June" 0.102
"163" 1835 "Jul" 0.571
"164" 1835 "Aug" 2.349
"165" 1835 "Sept" 0.288
"166" 1835 "Oct" -0.297
"167" 1835 "Nov" -1.311
"168" 1835 "Dec" -1.464
"169" 1836 "Jan" 1.468
"170" 1836 "Feb" 0.055
"171" 1836 "Mar" 2.278
"172" 1836 "April" 0.874
"173" 1836 "May" -1.504
"174" 1836 "June" 2.947
"175" 1836 "Jul" 4.327
"176" 1836 "Aug" 2.798
"177" 1836 "Sept" -1.587
"178" 1836 "Oct" -1.167
"179" 1836 "Nov" 2.039
"180" 1836 "Dec" -1.412
"181" 1837 "Jan" -1.156
"182" 1837 "Feb" 4.67
"183" 1837 "Mar" -3.077
"184" 1837 "April" -0.56
"185" 1837 "May" -1.022
"186" 1837 "June" -2.98
"187" 1837 "Jul" -2.398
"188" 1837 "Aug" 0.006
"189" 1837 "Sept" 0.169
"190" 1837 "Oct" 2.517
"191" 1837 "Nov" 1.342
"192" 1837 "Dec" 1.365
"193" 1838 "Jan" -2.16
"194" 1838 "Feb" -1.805
"195" 1838 "Mar" 1.231
"196" 1838 "April" -0.612
"197" 1838 "May" -2.156
"198" 1838 "June" 1.237
"199" 1838 "Jul" 0.11
"200" 1838 "Aug" 1.156
"201" 1838 "Sept" 1.46
"202" 1838 "Oct" 0.588
"203" 1838 "Nov" -2.646
"204" 1838 "Dec" 2.552
"205" 1839 "Jan" 1.243
"206" 1839 "Feb" 4.197
"207" 1839 "Mar" 0.788
"208" 1839 "April" 1.405
"209" 1839 "May" -0.939
"210" 1839 "June" 0.01
"211" 1839 "Jul" 1.136
"212" 1839 "Aug" 0.04
"213" 1839 "Sept" 1.09
"214" 1839 "Oct" -1.274
"215" 1839 "Nov" -2.895
"216" 1839 "Dec" -0.628
"217" 1840 "Jan" 2.97
"218" 1840 "Feb" -0.399
"219" 1840 "Mar" -3.055
"220" 1840 "April" 0.87
"221" 1840 "May" -0.575
"222" 1840 "June" -0.085
"223" 1840 "Jul" 1.227
"224" 1840 "Aug" 0.048
"225" 1840 "Sept" 0.458
"226" 1840 "Oct" -2.497
"227" 1840 "Nov" 0.458
"228" 1840 "Dec" -2.431
"229" 1841 "Jan" -0.706
"230" 1841 "Feb" -1.372
"231" 1841 "Mar" 2.406
"232" 1841 "April" 1.971
"233" 1841 "May" 1.649
"234" 1841 "June" -0.614
"235" 1841 "Jul" -0.625
"236" 1841 "Aug" 2.386
"237" 1841 "Sept" -2.765
"238" 1841 "Oct" -2.133
"239" 1841 "Nov" 1.757
"240" 1841 "Dec" 0.213
"241" 1842 "Jan" 2.448
"242" 1842 "Feb" 4.261
"243" 1842 "Mar" 3.426
"244" 1842 "April" -0.436
"245" 1842 "May" -0.849
"246" 1842 "June" -4.301
"247" 1842 "Jul" -4.047
"248" 1842 "Aug" 1.028
"249" 1842 "Sept" -3.799
"250" 1842 "Oct" -3.731
"251" 1842 "Nov" -2.665
"252" 1842 "Dec" 0.507
"253" 1843 "Jan" 2.986
"254" 1843 "Feb" -3.505
"255" 1843 "Mar" -1.285
"256" 1843 "April" 2.025
"257" 1843 "May" -0.491
"258" 1843 "June" -1.925
"259" 1843 "Jul" 3.262
"260" 1843 "Aug" 3.99
"261" 1843 "Sept" -0.583
"262" 1843 "Oct" -1.898
"263" 1843 "Nov" 0.871
"264" 1843 "Dec" 3.128
"265" 1844 "Jan" 0.201
"266" 1844 "Feb" 0.112
"267" 1844 "Mar" 1.093
"268" 1844 "April" 3.914
"269" 1844 "May" -2.765
"270" 1844 "June" -0.123
"271" 1844 "Jul" 0.365
"272" 1844 "Aug" -1.002
"273" 1844 "Sept" -1.535
"274" 1844 "Oct" -0.99
"275" 1844 "Nov" -0.019
"276" 1844 "Dec" -1.901
"277" 1845 "Jan" 1.171
"278" 1845 "Feb" 0.058
"279" 1845 "Mar" -0.539
"280" 1845 "April" 0.564
"281" 1845 "May" -0.973
"282" 1845 "June" 2.065
"283" 1845 "Jul" -0.164
"284" 1845 "Aug" -0.291
"285" 1845 "Sept" -0.229
"286" 1845 "Oct" 1.142
"287" 1845 "Nov" 0.487
"288" 1845 "Dec" 0.828
"289" 1846 "Jan" 2.263
"290" 1846 "Feb" 0.631
"291" 1846 "Mar" 1.752
"292" 1846 "April" -1.417
"293" 1846 "May" 0.192
"294" 1846 "June" 1.447
"295" 1846 "Jul" 2.837
"296" 1846 "Aug" -0.298
"297" 1846 "Sept" -1.184
"298" 1846 "Oct" 0.008
"299" 1846 "Nov" -0.594
"300" 1846 "Dec" -2.546
"301" 1847 "Jan" 0.031
"302" 1847 "Feb" 0.099
"303" 1847 "Mar" -1.585
"304" 1847 "April" 1.17
"305" 1847 "May" 1.763
"306" 1847 "June" -0.26
"307" 1847 "Jul" 0.746
"308" 1847 "Aug" 1.129
"309" 1847 "Sept" -0.324
"310" 1847 "Oct" 0.445
"311" 1847 "Nov" 2.459
"312" 1847 "Dec" 1.76
"313" 1848 "Jan" -0.792
"314" 1848 "Feb" 1.77
"315" 1848 "Mar" 0.757
"316" 1848 "April" -1.023
"317" 1848 "May" 0.691
"318" 1848 "June" -1.78
"319" 1848 "Jul" 1.867
"320" 1848 "Aug" 2.641
"321" 1848 "Sept" -2.546
"322" 1848 "Oct" -2.436
"323" 1848 "Nov" -0.842
"324" 1848 "Dec" 2.548
"325" 1849 "Jan" 2.419
"326" 1849 "Feb" 2.767
"327" 1849 "Mar" -0.562
"328" 1849 "April" -0.99
"329" 1849 "May" -0.517
"330" 1849 "June" -3.21
"331" 1849 "Jul" 1.203
"332" 1849 "Aug" 0.701
"333" 1849 "Sept" -2.234
"334" 1849 "Oct" -0.078
"335" 1849 "Nov" 0.802
"336" 1849 "Dec" -1.238
"337" 1850 "Jan" -0.163
"338" 1850 "Feb" 4.134
"339" 1850 "Mar" -2.216
"340" 1850 "April" 0.965
"341" 1850 "May" -1.157
"342" 1850 "June" 0.403
"343" 1850 "Jul" 0.305
"344" 1850 "Aug" 0.148
"345" 1850 "Sept" -2.077
"346" 1850 "Oct" -2.701
"347" 1850 "Nov" 2.39
"348" 1850 "Dec" 2.358
"349" 1851 "Jan" 3.293
"350" 1851 "Feb" 1.028
"351" 1851 "Mar" 1.504
"352" 1851 "April" -1.658
"353" 1851 "May" -1.534
"354" 1851 "June" -1.621
"355" 1851 "Jul" -5.395
"356" 1851 "Aug" 4.679
"357" 1851 "Sept" 1.852
"358" 1851 "Oct" 0.777
"359" 1851 "Nov" -1.769
"360" 1851 "Dec" 1.742
"361" 1852 "Jan" 1.464
"362" 1852 "Feb" 0.411
"363" 1852 "Mar" -2.502
"364" 1852 "April" -1.597
"365" 1852 "May" 0.245
"366" 1852 "June" 0.093
"367" 1852 "Jul" -1.134
"368" 1852 "Aug" 2.943
"369" 1852 "Sept" -2.021
"370" 1852 "Oct" -1.646
"371" 1852 "Nov" -0.93
"372" 1852 "Dec" 1.029
"373" 1853 "Jan" 1.308
"374" 1853 "Feb" -4.038
"375" 1853 "Mar" -0.321
"376" 1853 "April" 0.764
"377" 1853 "May" -3.173
"378" 1853 "June" 1.09
"379" 1853 "Jul" 1.76
"380" 1853 "Aug" -2.362
"381" 1853 "Sept" -0.222
"382" 1853 "Oct" -0.471
"383" 1853 "Nov" 0.51
"384" 1853 "Dec" -4.284
"385" 1854 "Jan" 1.276
"386" 1854 "Feb" 1.724
"387" 1854 "Mar" 2.673
"388" 1854 "April" 0.88
"389" 1854 "May" 0.041
"390" 1854 "June" -0.058
"391" 1854 "Jul" -1.917
"392" 1854 "Aug" -0.033
"393" 1854 "Sept" 2.621
"394" 1854 "Oct" 1.111
"395" 1854 "Nov" -1.563
"396" 1854 "Dec" 2.421
"397" 1855 "Jan" -1.841
"398" 1855 "Feb" -3.805
"399" 1855 "Mar" -0.05
"400" 1855 "April" 0.985
"401" 1855 "May" -2.283
"402" 1855 "June" 0.783
"403" 1855 "Jul" -2.613
"404" 1855 "Aug" 3.814
"405" 1855 "Sept" 0.792
"406" 1855 "Oct" -1.087
"407" 1855 "Nov" -2.418
"408" 1855 "Dec" -1.661
"409" 1856 "Jan" -1.251
"410" 1856 "Feb" -0.102
"411" 1856 "Mar" -2.266
"412" 1856 "April" 2.002
"413" 1856 "May" -0.703
"414" 1856 "June" 2.033
"415" 1856 "Jul" -0.156
"416" 1856 "Aug" -0.439
"417" 1856 "Sept" -0.504
"418" 1856 "Oct" 1.122
"419" 1856 "Nov" -1.695
"420" 1856 "Dec" -0.225
"421" 1857 "Jan" -0.695
"422" 1857 "Feb" 2.017
"423" 1857 "Mar" 1.088
"424" 1857 "April" 0.554
"425" 1857 "May" -0.17
"426" 1857 "June" -0.328
"427" 1857 "Jul" 5.361
"428" 1857 "Aug" 1.016
"429" 1857 "Sept" 1.213
"430" 1857 "Oct" -0.2
"431" 1857 "Nov" -1.678
"432" 1857 "Dec" 3.51
"433" 1858 "Jan" 2.263
"434" 1858 "Feb" -0.544
"435" 1858 "Mar" -1.236
"436" 1858 "April" 1.236
"437" 1858 "May" 0.53
"438" 1858 "June" -0.24
"439" 1858 "Jul" -1.579
"440" 1858 "Aug" 0.059
"441" 1858 "Sept" 2.327
"442" 1858 "Oct" -1.863
"443" 1858 "Nov" -4.413
"444" 1858 "Dec" 3.005
"445" 1859 "Jan" 2.736
"446" 1859 "Feb" 2.37
"447" 1859 "Mar" 1.501
"448" 1859 "April" -1.121
"449" 1859 "May" -0.632
"450" 1859 "June" -0.058
"451" 1859 "Jul" 2.237
"452" 1859 "Aug" 1.816
"453" 1859 "Sept" 0.114
"454" 1859 "Oct" -2.611
"455" 1859 "Nov" 0.291
"456" 1859 "Dec" -1.306
"457" 1860 "Jan" 1.541
"458" 1860 "Feb" 0.316
"459" 1860 "Mar" 1.083
"460" 1860 "April" -0.37
"461" 1860 "May" -1.511
"462" 1860 "June" -2.319
"463" 1860 "Jul" -2.275
"464" 1860 "Aug" -0.155
"465" 1860 "Sept" -0.919
"466" 1860 "Oct" 2.282
"467" 1860 "Nov" -3.44
"468" 1860 "Dec" -2.144
"469" 1861 "Jan" -0.56
"470" 1861 "Feb" 0.804
"471" 1861 "Mar" 2.06
"472" 1861 "April" -1.86
"473" 1861 "May" -1.986
"474" 1861 "June" -1.044
"475" 1861 "Jul" 0.73
"476" 1861 "Aug" 2.913
"477" 1861 "Sept" -0.848
"478" 1861 "Oct" -0.797
"479" 1861 "Nov" -1.35
"480" 1861 "Dec" -1.495
"481" 1862 "Jan" 1.149
"482" 1862 "Feb" -1.259
"483" 1862 "Mar" -2.254
"484" 1862 "April" 0.643
"485" 1862 "May" 0.648
"486" 1862 "June" -0.218
"487" 1862 "Jul" -2.084
"488" 1862 "Aug" -1.434
"489" 1862 "Sept" -1.501
"490" 1862 "Oct" 1.753
"491" 1862 "Nov" -0.493
"492" 1862 "Dec" 2.918
"493" 1863 "Jan" 1.119
"494" 1863 "Feb" 3.097
"495" 1863 "Mar" 1.882
"496" 1863 "April" 2.354
"497" 1863 "May" -1.489
"498" 1863 "June" -0.586
"499" 1863 "Jul" -0.426
"500" 1863 "Aug" 0.103
"501" 1863 "Sept" 2.465
"502" 1863 "Oct" -0.592
"503" 1863 "Nov" 1.623
"504" 1863 "Dec" 2.174
"505" 1864 "Jan" 2.028
"506" 1864 "Feb" -0.271
"507" 1864 "Mar" -1.778
"508" 1864 "April" 0.235
"509" 1864 "May" -1.832
"510" 1864 "June" 1.762
"511" 1864 "Jul" 0.504
"512" 1864 "Aug" -0.209
"513" 1864 "Sept" 1.119
"514" 1864 "Oct" -6.053
"515" 1864 "Nov" 0.006
"516" 1864 "Dec" -0.765
"517" 1865 "Jan" 0.146
"518" 1865 "Feb" -0.418
"519" 1865 "Mar" -1.032
"520" 1865 "April" 0.921
"521" 1865 "May" 0.867
"522" 1865 "June" 0.738
"523" 1865 "Jul" -0.072
"524" 1865 "Aug" -0.221
"525" 1865 "Sept" 3.239
"526" 1865 "Oct" -2.656
"527" 1865 "Nov" -0.139
"528" 1865 "Dec" 2.574
"529" 1866 "Jan" 2.055
"530" 1866 "Feb" 0.702
"531" 1866 "Mar" -2.103
"532" 1866 "April" -0.876
"533" 1866 "May" -1.539
"534" 1866 "June" -0.185
"535" 1866 "Jul" 0.285
"536" 1866 "Aug" 0.771
"537" 1866 "Sept" 1.522
"538" 1866 "Oct" -0.028
"539" 1866 "Nov" 1.012
"540" 1866 "Dec" 2.135
"541" 1867 "Jan" -2.168
"542" 1867 "Feb" 3.635
"543" 1867 "Mar" -3.027
"544" 1867 "April" 3.077
"545" 1867 "May" -2.346
"546" 1867 "June" -1.2
"547" 1867 "Jul" -1.773
"548" 1867 "Aug" 3.1
"549" 1867 "Sept" 1.133
"550" 1867 "Oct" 0.733
"551" 1867 "Nov" -1.512
"552" 1867 "Dec" -0.551
"553" 1868 "Jan" 1.456
"554" 1868 "Feb" 3.954
"555" 1868 "Mar" 2.94
"556" 1868 "April" 2.515
"557" 1868 "May" 1.346
"558" 1868 "June" 2.101
"559" 1868 "Jul" 1.207
"560" 1868 "Aug" 3.016
"561" 1868 "Sept" -2.653
"562" 1868 "Oct" 1.873
"563" 1868 "Nov" -0.833
"564" 1868 "Dec" 2.014
"565" 1869 "Jan" 3.249
"566" 1869 "Feb" 3.9
"567" 1869 "Mar" -1.911
"568" 1869 "April" 2.618
"569" 1869 "May" -1.985
"570" 1869 "June" -0.711
"571" 1869 "Jul" 0.289
"572" 1869 "Aug" 1.146
"573" 1869 "Sept" 0.621
"574" 1869 "Oct" -0.794
"575" 1869 "Nov" 0.792
"576" 1869 "Dec" -0.692
"577" 1870 "Jan" 0.319
"578" 1870 "Feb" -1.978
"579" 1870 "Mar" -2.072
"580" 1870 "April" 2.918
"581" 1870 "May" 1.546
"582" 1870 "June" 0.56
"583" 1870 "Jul" -0.363
"584" 1870 "Aug" -3.409
"585" 1870 "Sept" 1.711
"586" 1870 "Oct" 1.298
"587" 1870 "Nov" -2.04
"588" 1870 "Dec" -3.519
"589" 1871 "Jan" 0.674
"590" 1871 "Feb" 1.708
"591" 1871 "Mar" 1.148
"592" 1871 "April" -0.316
"593" 1871 "May" -2.499
"594" 1871 "June" -1.366
"595" 1871 "Jul" 1.752
"596" 1871 "Aug" 4.191
"597" 1871 "Sept" -1.933
"598" 1871 "Oct" -0.895
"599" 1871 "Nov" -3.717
"600" 1871 "Dec" -0.182
"601" 1872 "Jan" 1.151
"602" 1872 "Feb" 0.449
"603" 1872 "Mar" -1.199
"604" 1872 "April" -0.728
"605" 1872 "May" 0.017
"606" 1872 "June" -0.345
"607" 1872 "Jul" -3.606
"608" 1872 "Aug" -1.425
"609" 1872 "Sept" -2.53
"610" 1872 "Oct" -0.911
"611" 1872 "Nov" 0.667
"612" 1872 "Dec" -1.089
"613" 1873 "Jan" 2.298
"614" 1873 "Feb" 0.176
"615" 1873 "Mar" -0.391
"616" 1873 "April" -2.169
"617" 1873 "May" -0.925
"618" 1873 "June" 0.78
"619" 1873 "Jul" -0.124
"620" 1873 "Aug" 3.438
"621" 1873 "Sept" -0.571
"622" 1873 "Oct" -0.815
"623" 1873 "Nov" -2.23
"624" 1873 "Dec" 2.009
"625" 1874 "Jan" 1.564
"626" 1874 "Feb" 2.071
"627" 1874 "Mar" 1.466
"628" 1874 "April" 2.991
"629" 1874 "May" -1.85
"630" 1874 "June" -0.761
"631" 1874 "Jul" 0.178
"632" 1874 "Aug" 0.821
"633" 1874 "Sept" 0.738
"634" 1874 "Oct" 0.863
"635" 1874 "Nov" -0.343
"636" 1874 "Dec" -2.122
"637" 1875 "Jan" 2.06
"638" 1875 "Feb" -1.467
"639" 1875 "Mar" -0.614
"640" 1875 "April" -0.405
"641" 1875 "May" 0.893
"642" 1875 "June" 1.456
"643" 1875 "Jul" -1.44
"644" 1875 "Aug" 1.707
"645" 1875 "Sept" -0.014
"646" 1875 "Oct" -0.755
"647" 1875 "Nov" -2.8
"648" 1875 "Dec" 0.076
"649" 1876 "Jan" 1.097
"650" 1876 "Feb" 0.747
"651" 1876 "Mar" -0.29
"652" 1876 "April" -0.673
"653" 1876 "May" -1.452
"654" 1876 "June" 1.705
"655" 1876 "Jul" 3.481
"656" 1876 "Aug" 1.016
"657" 1876 "Sept" -2.615
"658" 1876 "Oct" -2.192
"659" 1876 "Nov" -2.348
"660" 1876 "Dec" -1.129
"661" 1877 "Jan" 2.389
"662" 1877 "Feb" 1.959
"663" 1877 "Mar" -0.446
"664" 1877 "April" -2.3
"665" 1877 "May" -1.732
"666" 1877 "June" -0.318
"667" 1877 "Jul" 1.176
"668" 1877 "Aug" -1.834
"669" 1877 "Sept" -3.735
"670" 1877 "Oct" 1.252
"671" 1877 "Nov" 2.062
"672" 1877 "Dec" 2.159
"673" 1878 "Jan" 1.18
"674" 1878 "Feb" 2.202
"675" 1878 "Mar" -0.007
"676" 1878 "April" 0.447
"677" 1878 "May" 0.278
"678" 1878 "June" -1.542
"679" 1878 "Jul" -1.933
"680" 1878 "Aug" -2.459
"681" 1878 "Sept" -0.946
"682" 1878 "Oct" -1.436
"683" 1878 "Nov" -3.475
"684" 1878 "Dec" -3.31
"685" 1879 "Jan" -0.707
"686" 1879 "Feb" 0.855
"687" 1879 "Mar" -0.083
"688" 1879 "April" 0.099
"689" 1879 "May" 0.631
"690" 1879 "June" -0.495
"691" 1879 "Jul" -1.567
"692" 1879 "Aug" -0.288
"693" 1879 "Sept" 1.901
"694" 1879 "Oct" -1.879
"695" 1879 "Nov" -3.375
"696" 1879 "Dec" 0.579
"697" 1880 "Jan" 0.419
"698" 1880 "Feb" 1.915
"699" 1880 "Mar" 0.063
"700" 1880 "April" 1.658
"701" 1880 "May" -1.785
"702" 1880 "June" 0.453
"703" 1880 "Jul" -1.897
"704" 1880 "Aug" -0.426
"705" 1880 "Sept" 0.924
"706" 1880 "Oct" -3.203
"707" 1880 "Nov" 1.193
"708" 1880 "Dec" 0.521
"709" 1881 "Jan" -3.597
"710" 1881 "Feb" -1.616
"711" 1881 "Mar" -0.51
"712" 1881 "April" -1.424
"713" 1881 "May" 0.823
"714" 1881 "June" 0.005
"715" 1881 "Jul" 2.098
"716" 1881 "Aug" 0.424
"717" 1881 "Sept" -0.248
"718" 1881 "Oct" -2.038
"719" 1881 "Nov" 4.337
"720" 1881 "Dec" 2.771
"721" 1882 "Jan" 3.066
"722" 1882 "Feb" 3.196
"723" 1882 "Mar" 3.608
"724" 1882 "April" -0.425
"725" 1882 "May" -0.677
"726" 1882 "June" -0.641
"727" 1882 "Jul" 1.597
"728" 1882 "Aug" 2.055
"729" 1882 "Sept" 0.396
"730" 1882 "Oct" 0.652
"731" 1882 "Nov" 2.006
"732" 1882 "Dec" -1.694
"733" 1883 "Jan" 1.668
"734" 1883 "Feb" 4.252
"735" 1883 "Mar" -3.043
"736" 1883 "April" 0.879
"737" 1883 "May" -0.537
"738" 1883 "June" -1.745
"739" 1883 "Jul" -2.247
"740" 1883 "Aug" 3.005
"741" 1883 "Sept" 0.469
"742" 1883 "Oct" 1.683
"743" 1883 "Nov" 2.362
"744" 1883 "Dec" 0.906
"745" 1884 "Jan" 3.323
"746" 1884 "Feb" 1.476
"747" 1884 "Mar" 0.193
"748" 1884 "April" -2.364
"749" 1884 "May" -0.17
"750" 1884 "June" 0.5
"751" 1884 "Jul" -0.804
"752" 1884 "Aug" 2.164
"753" 1884 "Sept" 1.602
"754" 1884 "Oct" 0.272
"755" 1884 "Nov" -1.157
"756" 1884 "Dec" 1.941
"757" 1885 "Jan" -0.803
"758" 1885 "Feb" 0.091
"759" 1885 "Mar" -1.063
"760" 1885 "April" 0.358
"761" 1885 "May" 0.323
"762" 1885 "June" 1.592
"763" 1885 "Jul" 3.072
"764" 1885 "Aug" -1.025
"765" 1885 "Sept" 1.403
"766" 1885 "Oct" -0.839
"767" 1885 "Nov" -0.76
"768" 1885 "Dec" -0.026
"769" 1886 "Jan" -1.406
"770" 1886 "Feb" -0.386
"771" 1886 "Mar" 0.563
"772" 1886 "April" -1.374
"773" 1886 "May" -0.666
"774" 1886 "June" -1.17
"775" 1886 "Jul" -1.587
"776" 1886 "Aug" 2.429
"777" 1886 "Sept" -0.341
"778" 1886 "Oct" -0.547
"779" 1886 "Nov" 0.548
"780" 1886 "Dec" 0.124
"781" 1887 "Jan" 1.898
"782" 1887 "Feb" 2.027
"783" 1887 "Mar" -0.847
"784" 1887 "April" -2.107
"785" 1887 "May" 0.437
"786" 1887 "June" 0.058
"787" 1887 "Jul" 0.579
"788" 1887 "Aug" -1.191
"789" 1887 "Sept" -2.56
"790" 1887 "Oct" -1.141
"791" 1887 "Nov" -3.255
"792" 1887 "Dec" -1.625
"793" 1888 "Jan" 0.206
"794" 1888 "Feb" -2.251
"795" 1888 "Mar" -1.495
"796" 1888 "April" -2.247
"797" 1888 "May" 0.966
"798" 1888 "June" -1.699
"799" 1888 "Jul" -0.005
"800" 1888 "Aug" 3.999
"801" 1888 "Sept" -0.417
"802" 1888 "Oct" -0.89
"803" 1888 "Nov" 2.699
"804" 1888 "Dec" 1.248
"805" 1889 "Jan" 0.65
"806" 1889 "Feb" -0.198
"807" 1889 "Mar" 0.114
"808" 1889 "April" 1.051
"809" 1889 "May" -0.391
"810" 1889 "June" 1.891
"811" 1889 "Jul" -1.03
"812" 1889 "Aug" 3.777
"813" 1889 "Sept" -1.983
"814" 1889 "Oct" -1.228
"815" 1889 "Nov" 2.696
"816" 1889 "Dec" 2.303
"817" 1890 "Jan" 4.323
"818" 1890 "Feb" -1.366
"819" 1890 "Mar" 0.498
"820" 1890 "April" -0.081
"821" 1890 "May" -1.143
"822" 1890 "June" 1.231
"823" 1890 "Jul" 0.297
"824" 1890 "Aug" 0.99
"825" 1890 "Sept" 2.498
"826" 1890 "Oct" 0.852
"827" 1890 "Nov" 1.898
"828" 1890 "Dec" -2.746
"829" 1891 "Jan" 0.275
"830" 1891 "Feb" 2.807
"831" 1891 "Mar" -1.172
"832" 1891 "April" -0.924
"833" 1891 "May" -1.775
"834" 1891 "June" -3.741
"835" 1891 "Jul" -0.541
"836" 1891 "Aug" 2.224
"837" 1891 "Sept" 2.289
"838" 1891 "Oct" -0.46
"839" 1891 "Nov" -1.533
"840" 1891 "Dec" 2.858
"841" 1892 "Jan" -0.774
"842" 1892 "Feb" -2.215
"843" 1892 "Mar" -1.533
"844" 1892 "April" -1.145
"845" 1892 "May" -0.568
"846" 1892 "June" -0.471
"847" 1892 "Jul" 0.182
"848" 1892 "Aug" 1.155
"849" 1892 "Sept" 1.612
"850" 1892 "Oct" -3.684
"851" 1892 "Nov" 0.812
"852" 1892 "Dec" -1.054
